taxon,xd_ids,soc_ids,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude,glottocode
C_Blk,,,C,West-Congo Basin,C30,C-Blk,Boloki,1,0.9,18.7,bolo1262
C_Gya,,,C,West-Congo Basin,C30,C-Gya,Gyando,1,1.8,18.2,
C_Lkk,,,C,West-Congo Basin,C30,C-Lkk,Likoka,2,2.7,18.7,liko1252
C_Mot,,,C,West-Congo Basin,C30,C-Mot,Motembo,1,2.1,21.1,temb1272
C_Ndo,,,C,West-Congo Basin,C30,C-Ndo,Ndobo,0,1,18.7,ndob1238
C_Pam,,,C,West-Congo Basin,C30,C-Pam,Pama,2,-1.05,17.2,mpam1239
C_Mo1,,,C,West-Congo Basin,C30a,C-Mo1,Moya,2,-2.5,16.2,
C_Dok,xd158,Ae38,C,West-Congo Basin,C31,C-Dok,Doko,4,1.6,19.7,doko1244
C_Lo1,,,C,West-Congo Basin,C31a,C-Lo1,Loi,1,0.5,17.9,loii1242
C_Zam,,,C,West-Congo Basin,C31e,C-Zam,Zamba,2,1.4,18.2,zamb1245
C_Mbz,,,C,West-Congo Basin,C31f,C-Mbz,Mbonzo,0,1.8,18,
C_Lib,,,C,West-Congo Basin,C31r,C-Lib,Libinza,0,1.5,18.5,libi1244
C_Bal,,,C,West-Congo Basin,C31s,C-Bal,Balobo,1,1.9,19.4,liki1240
C_Mwe,,,C,West-Congo Basin,C31y,C-Mwe,Mwe,8,2.1,19.2,bamw1238
C_Bob,,,C,West-Congo Basin,C32,C-Bob,Bobangi,0,-1.4,17.7,bang1354
C_Kin,,,C,West-Congo Basin,C32,C-Kin,Kinunu,4,-1.9,16.5,
C_Mbm,,,C,West-Congo Basin,C32,C-Mbm,Mbompo,2,-0.1,18.1,
C_Sen,,,C,West-Congo Basin,C33,C-Sen,Sengele,1,-1.8,18.7,seng1278
C_Sak,xd49,Ac24,C,West-Congo Basin,C34,C-Sak,Sakata,3,-2.7,18.1,saka1287
C_Kba,,,C,West-Congo Basin,C34a,C-Kba,Kibai,6,-2.9,18.6,
C_Kes,,,C,West-Congo Basin,C34B,C-Kes,Kesha,2,-3.05,18.7,
C_Bol,,,C,West-Congo Basin,C35,C-Bol,Bolia,1,-1.5,18.4,boli1255
C_Nt1,,,C,West-Congo Basin,C35,C-Nt1,Ntomba-B,0,-1.1,18.1,boli1263
C_Lol,,,C,West-Congo Basin,C36,C-Lol,Lolia,1,-1.3,18.2,boli1255
C_Bdz,xd157,Ae37,C,West-Congo Basin,C36c,C-Bdz,Budza,1,2.2,22.5,budz1238
C_Lin,xd147,Ae28,C,West-Congo Basin,C36d,C-Lin,Lingala,1,1.5,17.5,ling1263
C_Lko,,,C,West-Congo Basin,C36g,C-Lko,Leko,2,0.8,18.6,
C_Bdj,,,C,West-Congo Basin,C37,C-Bdj,Budja,4,2.2,23.2,budj1234
C_Kul,,,C,West-Congo Basin,C41,C-Kul,Kula,3,2.3,20.2,
C_Ngo,,,C,West-Congo Basin,C41,C-Ngo,Ngombe,3,1.2,19.8,ngom1268
C_Ben,,,C,Boan-Lebonya,C43,C-Ben,Benge,5,3.4,23.9,beng1281
C_Boa,xd183,Ae7,C,Boan-Lebonya,C44a,C-Boa,Boa,3,2.7,23.8,bwaa1238
C_Leb,,,C,Boan-Lebonya,C45,C-Leb,Lebeo,6,2.5,27,beoo1240
C_Nge,,,C,Boan-Lebonya,C45,C-Nge,Ngelema,1,1.5,25,ngel1238
C_Ela,,,C,West-Congo Basin,C50,C-Ela,Elambo,1,-1,23.75,
C_Mbe,xd156,Ae36,C,West-Congo Basin,C51,C-Mbe,Mbesa,3,1.1,23.15,mbes1238
C_Hes,,,C,West-Congo Basin,C52,C-Hes,Heso,3,0.7,24.2,sode1235
C_Lon,,,C,West-Congo Basin,C52,C-Lon,Lolinga,1,1.05,23.85,
C_Lyo,,,C,West-Congo Basin,C52,C-Lyo,Lyombo,2,0.5,24.3,
C_Bau,,,C,West-Congo Basin,C53,C-Bau,Bauma,6,0,24,
C_Wen,,,C,West-Congo Basin,C53,C-Wen,Wenge,7,0.1,24.1,
C_Ilo,,,C,West-Congo Basin,C54,C-Ilo,Ilombo,1,1,24.3,
C_Kle,xd146,Ae27,C,West-Congo Basin,C55,C-Kle,Kele,1,0.8,24.2,kele1255
C_Kun,xd160,"Ae4, SCCS14",C,West-Congo Basin,C61,C-Kun,Kundo,0,-1,19.6,nkun1238
C_Mng,,,C,West-Congo Basin,C61,C-Mng,Mongo,1,-0.6,24.3,mong1338
C_Kon,,,C,West-Congo Basin,C64,C-Kon,Konda,0,-1.4,19,kond1299
C_Nt4,,,C,West-Congo Basin,C65a,C-Nt4,Ntomba-I,2,-1.9,18.3,ntom1249
C_Ml2,,,C,West-Congo Basin,C68a,C-Ml2,Mbole-K,0,-0.1,24.5,mbol1247
C_Omb,,,C,West-Congo Basin,C69,C-Omb,Ombo,0,-2.2,25.8,ombo1238
C_Tet,xd144,Ae25,C,West-Congo Basin,C71,C-Tet,Tetela,0,-5,25,tete1250
C_Yyo,,,C,West-Congo Basin,C71a,C-Yyo,Yyondo,0,-4.6,24.2,
C_Ku2,xd141,Ae22,C,West-Congo Basin,C72a,C-Ku2,Kushu,0,-4,25.1,kusu1252
C_Kla,,,C,West-Congo Basin,C75,C-Kla,Kela,4,-2.5,23.2,kela1254
C_Ile,,,C,West-Congo Basin,C80,C-Ile,Ilebo,6,-4.3,20.6,
C_Mbi,xd66,Ac4,C,West-Congo Basin,C80,C-Mbi,Mbingi,6,-4.05,22.2,bush1247
C_Shu,,,C,West-Congo Basin,C80,C-Shu,Shuwa,4,-4.1,22.2,pian1241
C_Nde,,,C,West-Congo Basin,C81,C-Nde,Ndengese,6,-3.5,21.4,deng1250
C_Won,,,C,West-Congo Basin,C83,C-Won,Wongo,0,-4.9,19.9,wong1247
C_Lu1,,,C,West-Congo Basin,C83a,C-Lu1,Luhilel,0,-4.35,20.2,
C_Lor,,,C,West-Congo Basin,C83B,C-Lor,Lori,2,-4.2,19.1,
C_Cwa,,,C,West-Congo Basin,C90,C-Cwa,Cwao,6,-5,22,
D_Kwa,,,D,Boan-Lebonya,D00,D-Kwa,Kwange,0,-3.9,25.9,kwan1271
D_Lil,,,D,Boan-Lebonya,D00,D-Lil,Liliko,0,2.2,27.3,lili1250
D_Lum,,,D,Boan-Lebonya,D00,D-Lum,Lumbwe,6,-6.5,28.2,
D_Nge,,,D,Boan-Lebonya,D00,D-Nge,Ngengele,1,-2.8,25.3,
D_Son,xd136,Ae18,D,Boan-Lebonya,D00,D-Son,Songe,0,-4.5,26.3,song1303
D_Zur,,,D,Boan-Lebonya,D00,D-Zur,Zura,0,-4.5,26.6,
D_La2,,,D,Boan-Lebonya,D00a,D-La2,Langa,0,-3.3,24.7,
D_Len,,,D,Boan-Lebonya,D12,D-Len,Lengola,0,-0.5,25.5,leng1258
D_Mit,,,D,East-Central,D13,D-Mit,Mituku,18,-0.2,24.8,mitu1240
D_Eny,,,D,East-Central,D14,D-Eny,Enya,6,0.5,25.5,enya1247
D_Ge1,,,D,East-Central,D14,D-Ge1,Genia,0,-4.1,26,
D_Bin,xd159,Ae39,D,East-Central,D24,D-Bin,Binja-N,0,-2.7,26.2,binj1250
D_Sng,xd129,Ae11,D,East-Central,D24,D-Sng,Songola,1,-2.3,26.5,song1300
D_Le1,,,D,East-Central,D25,D-Le1,Lega,0,-2.7,27.3,lega1250
D_Reg,,,D,East-Central,D25,D-Reg,Rega,0,-2.6,27.35,
D_Zim,,,D,East-Central,D26,D-Zim,Zimba,0,-4.3,26.6,zimb1251
D_Hol,xd925,B62,D,East-Central,D28,D-Hol,Holoholo,1,-5.9,29.2,holo1240
D_Tum,,,D,East-Central,D28b,D-Tum,Tumbwe,5,-6,28.8,
D_Bi1,xd154,Ae34,D,Boan-Lebonya,D32,D-Bi1,Bira,0,1.6,30.2,bera1259
D_Ny1,,,D,Boan-Lebonya,D33,D-Ny1,Nyali,0,2,27.9,nyal1250
D_Bod,,,D,Boan-Lebonya,D35,D-Bod,Bodo,0,2.2,27.9,bodo1272
D_Kum,xd152,Ae32,D,Boan-Lebonya,D37,D-Kum,Kumu,0,-0.5,27,komo1260
D_Nyg,,,D,Boan-Lebonya,D43,D-Nyg,Nyanga,0,-1.4,28,nyan1304
D_Buy,xd57,Ac31,D,East-Great Lakes,D55,D-Buy,Buyu,17,-4.5,28.3,buyu1239
E_Log,,,E,East-Great Lakes,E41,E-Log,Logoli,3,0.1,34.9,logo1258
E_Gik,xd109,"Ad4, SCCS11",E,East-Kilimanjaro,E51,E-Gik,Gikuyu,0,-0.5,36.7,kiku1240
E_Tha,,,E,East-Kilimanjaro,E54,E-Tha,Tharaka,0,-0.2,38.2,thar1283
E_Kam,xd103,Ad34,E,East-Kilimanjaro,E55,E-Kam,Kamba,6,-1.4,38,kamb1297
E_Cha,,,E,East-Kilimanjaro,E62b,E-Cha,Chaga,2,-3.2,37.3,chag1250
E_Po1,xd102,Ad33,E,East-Coastal,E71,E-Po1,Pokomo,10,-1.4,39.9,poko1261
E_Gi1,xd101,Ad32,E,East-Coastal,E72a,E-Gi1,Giryama,0,-3.2,39.4,giry1241
E_Cho,,,E,East-Coastal,E72c,E-Cho,Choni,9,-3.8,39.8,chon1287
E_Rab,,,E,East-Coastal,E72e,E-Rab,Rabai,10,-3.3,39.8,raba1248
E_Di1,xd99,Ad30,E,East-Coastal,E73,E-Di1,Digo,9,-4.3,39.2,digo1243
E_Seg,,,E,East-Coastal,E73,E-Seg,Segeju,11,-4.8,39.2,sege1246
E_Daw,xd106,Ad37,E,East-Coastal,E74a,E-Daw,Dawida,10,-3.1,38,tait1250
E_Sag,,,E,East-Coastal,E74b,E-Sag,Sagala,11,-6.9,36.3,saga1256
F_Suk,xd90,Ad22,F,East-Coastal,F21,F-Suk,Sukuma,18,-3,33,suku1261
F_Nya,xd88,Ad20,F,East-Coastal,F22,F-Nya,Nyamwezi,0,-4.3,33.2,nyam1276
F_Sum,xd117,Ad47,F,East-Coastal,F23,F-Sum,Sumbwa,0,-3.9,32.8,sumb1240
F_Nyi,,,F,East-Coastal,F31,F-Nyi,Nyiramba,10,-5,34.7,nila1242
G_Gog,xd92,Ad24,G,East-Coastal,G11,G-Gog,Gogo,10,-6.3,35.7,gogo1263
G_Kag,xd121,Ad50,G,East-Coastal,G12,G-Kag,Kaguru,10,-6.3,37,kagu1239
G_Tav,,,G,East-Coastal,G21,G-Tav,Taveta,12,-3.4,37.8,tave1240
G_Cas,xd105,Ad36,G,East-Coastal,G22,G-Cas,Casu,6,-4.2,37.8,asut1235
G_Par,,,G,East-Coastal,G22,G-Par,Pare,1,-4.5,38,
G_Sha,xd77,Ad10,G,East-Coastal,G23,G-Sha,Shambala,9,-4.9,38.3,sham1280
G_Bon,,,G,East-Coastal,G24,G-Bon,Bondei,9,-5.3,38.8,bond1247
G_Zig,,,G,East-Coastal,G31,G-Zig,Zigula,9,-5.4,38,zigu1244
G_Ngw,xd95,Ad27,G,East-Coastal,G32,G-Ngw,Ngwele,10,-6.4,38.3,kwer1261
G_Doe,,,G,East-Coastal,G33,G-Doe,Doe,9,-6.3,38.6,doee1238
G_Zar,,,G,East-Coastal,G33,G-Zar,Zaramo,10,-7,39,zara1247
G_Ngu,xd122,Ad51,G,East-Coastal,G34,G-Ngu,Ngulu,9,-6.2,37.5,ngul1246
G_Lug,xd81,"Ad14, SCCS10",G,East-Coastal,G35,G-Lug,Luguru,10,-6.9,37.7,lugu1238
G_Kam,,,G,East-Coastal,G36,G-Kam,Kami,11,-7.4,39.1,kami1256
G_Kut,,,G,East-Coastal,G37,G-Kut,Kutu,10,-7.5,37.5,kutu1263
G_Elw,,,G,East-Coastal,G40,G-Elw,Elwana,10,-1.1,40.1,ilwa1237
G_Had,,,G,East-Coastal,G40,G-Had,Hadimu,10,-6.3,39.5,
G_Mii,,,G,East-Coastal,G40,G-Mii,Miini,0,1.2,44,chim1312
G_Pem,xd97,Ad29,G,East-Coastal,G40,G-Pem,Pemba,10,-5.2,39.3,pemb1239
G_Vum,,,G,East-Coastal,G40,G-Vum,Vumba,12,-4.6,39.4,
G_Tik,xd76,Ad1,G,East-Coastal,G41,G-Tik,Tikuu,10,-2,40.9,baju1245
G_Sw1,,,G,East-Coastal,G42,G-Sw1,Swahili,0,-6.8,39.3,swah1253
G_Nga,,,G,East-Coastal,G44a,G-Nga,Ngazija,4,-11.5,43.5,ngaz1238
